Student_ID,Math_Exam1,Math_Exam2,Math_Exam3,Science_Exam1,Science_Exam2,Science_Exam3,English_Exam1,English_Exam2,English_Exam3,History_Exam1,History_Exam2,History_Exam3,Art_Exam1,Art_Exam2,Art_Exam3
S01,87,44,65,94,43,59,63,79,68,97,54,63,48,65,86
S02,82,66,48,79,78,44,88,47,84,40,51,95,98,46,59
S03,100,84,45,96,64,95,93,88,99,40,74,96,49,54,78
S04,44,86,49,63,75,43,48,59,88,41,40,56,94,71,69
S05,84,68,100,47,63,50,81,75,40,47,63,68,95,72,61
S06,76,75,73,43,99,67,73,59,67,44,59,73,99,70,97
S07,77,49,69,57,71,42,59,90,58,61,95,43,51,98,87
S08,56,52,69,83,81,49,52,43,86,54,100,60,93,100,55
S09,99,75,88,44,83,48,66,98,94,83,87,63,53,90,79
S10,43,69,52,52,55,69,48,94,78,93,46,61,84,67,47
S11,57,82,87,45,76,92,81,81,69,66,40,100,62,74,52
S12,46,80,74,99,82,86,92,89,69,78,82,57,45,55,89
S13,94,52,81,80,68,94,87,77,49,63,61,44,67,52,81
S14,51,46,96,73,61,61,70,83,68,96,91,95,95,97,52
S15,52,85,76,47,61,98,81,78,55,83,99,58,68,56,45
S16,75,53,72,93,63,71,73,85,80,92,67,54,85,81,82
S17,72,74,71,88,95,78,58,49,49,53,61,83,41,71,54
S18,56,88,65,89,86,73,61,59,58,40,53,98,50,92,98
S19,67,68,48,95,73,76,65,84,91,94,82,68,47,89,55
S20,40,58,79,84,88,40,84,49,86,96,74,88,83,45,61
S21,56,81,51,82,72,80,76,45,68,83,69,89,86,82,92
S22,88,71,47,68,87,98,90,88,54,87,53,59,81,53,64
S23,43,47,89,82,72,73,51,67,44,78,71,99,89,70,54
S24,84,83,52,56,89,98,66,72,100,83,73,48,92,70,73
S25,55,62,96,93,74,52,44,84,95,60,83,89,58,96,61
S26,90,97,62,58,45,79,95,45,45,46,71,69,56,82,94
S27,86,44,86,78,53,42,52,94,64,67,99,95,56,86,100
S28,45,80,69,49,84,95,79,54,46,42,77,62,89,86,49
S29,75,55,60,72,75,61,46,60,40,60,73,61,42,51,87
S30,51,76,48,85,83,47,93,47,61,59,79,62,85,90,75
